Data_id,ConfirmedCases,ConfirmedDeaths,PopulationVaccinated
710,16549,177,73.65
711,16575,177,73.65
712,16593,177,73.65
713,16593,177,73.7
714,16646,178,73.71
715,16673,178,73.75
716,16716,178,73.77
717,16751,180,73.86
718,16778,180,73.86
719,16807,180,73.86
720,16848,180,73.93
721,16920,180,73.93
722,17041,180,73.97
723,17165,181,74.03
724,17324,181,74.03
725,17500,181,74.03
726,17648,181,74.03
727,17896,181,74.09
728,18350,181,74.17
729,19021,181,74.17
730,19719,181,74.21
731,20461,181,74.21
732,20982,181,74.21
733,21471,181,74.21
734,22020,181,74.21
735,23048,181,74.24
736,24210,181,74.27
737,25254,181,74.33
738,26166,181,74.36
739,26867,181,74.36
740,27392,182,74.36
741,27891,182,74.42
742,28601,182,74.43
743,29176,182,74.51
744,29694,184,74.54
745,30105,184,74.57
746,30420,184,74.57
747,30677,184,74.57
748,30976,186,74.6
749,31338,186,74.65
750,31603,187,74.69
751,31835,187,74.73
752,32056,187,74.8
753,32220,187,74.8
754,32322,191,74.8
755,32405,193,74.8
756,32524,193,74.84
757,32562,193,74.84
758,32718,193,74.89
759,32808,193,74.93
760,32900,193,74.93
761,32956,193,74.93
762,33000,193,74.97
763,33084,193,75.02
764,33146,193,75.05
765,33200,194,75.08
766,33242,194,75.11
767,33282,195,75.11
768,33302,195,75.11
769,33328,195,75.14
770,33377,196,75.17
771,33406,196,75.21
772,33436,196,75.24
773,33455,196,75.28
774,33483,198,75.28
775,33500,198,75.28
776,33513,198,75.31
777,33531,198,75.33
778,33544,198,75.37
779,33568,198,75.4
780,33585,198,75.45
781,33600,198,75.45
782,33606,198,75.45
783,33618,211,75.47
784,33631,211,75.49
785,33643,211,75.51
786,33655,211,75.53
787,33670,211,75.56
788,33676,211,75.56
789,33676,211,75.56
790,33684,211,75.56
791,33684,211,75.6
792,33684,211,75.63
793,33684,211,75.64
794,33732,212,75.66
795,33732,212,75.66
796,33732,212,75.67
797,33732,212,75.69
798,33732,212,75.72
799,33732,212,75.74
800,33732,212,75.79
801,33796,212,75.79
802,33796,212,75.8
803,33796,212,75.8
804,33796,212,75.82
805,33796,212,75.83
806,33817,212,75.85
807,33843,212,75.87
808,33843,212,75.87
809,33843,212,75.87
810,33843,212,75.87
811,33843,212,75.95
812,33843,212,76.02
813,33843,212,76.11
814,33843,212,76.16
815,33929,212,76.26
816,33929,212,76.26
817,33929,212,76.26
818,33929,212,76.35
819,33929,212,76.41
820,33966,212,76.46
821,33966,212,76.48
822,34051,212,76.48
823,34051,212,76.48
824,34051,212,76.52
825,34051,212,76.55
826,34051,212,76.59
827,34089,212,76.61
828,34089,212,76.63
829,34189,212,76.67
830,34189,212,76.67
831,34189,212,76.67
832,34189,212,76.7
833,34189,212,76.72
834,34264,212,76.76
835,34345,212,76.77
836,34345,212,76.77
837,34345,212,76.77
838,34345,212,76.77
839,34345,212,76.77
840,34345,212,76.81
841,34446,271,76.84
842,34446,212,76.86
843,34589,212,76.89
844,34589,212,76.89
845,34589,212,76.89
846,34589,212,76.91
847,34589,212,76.93
848,34693,212,76.93
849,34693,212,76.95
850,34846,212,76.97
851,34846,212,76.97
852,34846,212,76.97
853,34846,212,76.97
854,34846,212,76.99
855,34965,212,77.01
856,34965,212,77.03
857,35189,212,77.04
858,35189,212,77.04
859,35189,212,77.04
860,35189,212,77.04
861,35189,212,77.07
862,35334,212,77.08
863,35334,212,77.11
864,35693,213,77.14
865,35693,213,77.14
866,35693,213,77.14
867,35693,213,77.17
868,35693,213,77.19
869,35920,213,77.21
870,35920,213,77.23
871,36316,213,77.25
872,36316,213,77.25
873,36316,213,77.25
874,36316,213,77.26
875,36316,213,77.28
876,36564,213,77.3
877,36564,213,77.3
878,37034,213,77.3
879,37034,213,77.3
880,37034,213,77.3
881,37034,213,77.32
882,37034,213,77.35
883,37352,213,77.37
884,37352,213,77.39
885,37975,216,77.45
886,37975,216,77.45
887,37975,216,77.45
888,37975,216,77.48
889,37975,216,77.5
890,38301,216,77.53
891,38301,216,77.54
892,39057,216,77.58
893,39057,216,77.58
894,39057,216,77.58
895,39057,216,77.6
896,39057,216,77.62
897,39339,219,77.64
898,39339,219,77.65
899,39980,219,77.67
900,39980,219,77.67
901,39980,219,77.67
902,39980,219,77.69
903,39980,219,77.71
904,40179,221,77.73
905,40179,221,77.75
906,40179,221,77.77
907,40595,221,77.77
908,40595,221,77.77
909,40595,221,77.79
910,40595,221,77.81
911,40718,221,77.81
912,40718,221,77.81
913,40718,221,77.83
914,40718,221,77.83
915,40718,221,77.83
916,41000,222,77.86
917,41000,222,77.88
918,41000,222,77.9
919,41000,222,77.91
920,41448,224,77.94
921,41448,224,77.94
922,41448,224,77.94
923,41448,224,77.96
924,41448,224,77.98
925,41448,224,77.99
926,41448,224,78
927,41787,224,78.02
928,41787,224,78.02
929,41787,224,78.02
930,41787,224,78.04
931,41787,224,78.05
932,41787,224,78.06
933,41787,224,78.07
934,41787,224,78.08
935,41787,224,78.08
936,41787,224,78.08
937,42020,224,78.1
938,42020,224,78.12
939,42080,224,78.13
940,42080,224,78.15
941,42080,224,78.16
942,42080,224,78.16
943,42080,224,78.16
944,42080,224,78.17
945,42217,226,78.18
946,42286,226,78.2
947,42286,226,78.2
948,42286,226,78.21
949,42286,226,78.21
950,42286,226,78.21
951,42406,226,78.22
952,42406,226,78.23
953,42478,226,78.24
954,42478,226,78.26
955,42478,226,78.27
956,42478,226,78.27
957,42478,226,78.27
958,42572,226,78.28
959,42572,226,78.29
960,42638,227,78.3
961,42638,227,78.3
962,42638,227,78.31
963,42638,227,78.31
964,42638,227,78.31
965,42696,227,78.31
966,42696,227,78.32
967,42750,227,78.33
968,42750,227,78.34
969,42750,227,78.35
970,42750,227,78.35
971,42750,227,78.35
972,42792,227,78.36
973,42792,227,78.37
974,42848,227,78.38
975,42848,227,78.38
976,42848,227,78.4
977,42848,227,78.4
978,42848,227,78.4
979,42914,227,78.41
980,42914,227,78.42
981,42970,228,78.43
982,42970,228,78.44
983,42970,228,78.44
984,42970,228,78.44
985,42970,228,78.44
986,42970,228,78.45
987,42970,228,78.46
988,42970,228,78.46
989,42970,228,78.48
990,42970,228,78.49
991,42970,228,78.49
992,42970,228,78.49
993,42970,228,78.5
994,42970,228,78.5
995,42970,228,78.51
996,42970,228,78.51
997,42970,228,78.52
998,42970,228,78.52
999,42970,228,78.52
1000,42970,228,78.52
1001,42970,228,78.53
1002,42970,230,78.53
1003,42970,230,78.54
1004,42970,230,78.54
1005,42970,230,78.54
1006,42970,230,78.54
1007,42970,230,78.55
1008,42970,230,78.56
1009,44145,230,78.57
1010,44145,230,78.58
1011,44145,230,78.59
1012,44145,230,78.59
1013,44145,230,78.59
1014,44145,230,78.59
1015,44145,230,78.6
1016,44145,230,78.6
1017,44145,232,78.62
1018,44145,232,78.62
1019,44145,232,78.62
1020,44145,232,78.62
1021,44145,232,78.63
1022,44145,232,78.63
1023,43291,232,78.64
1024,43291,232,78.64
1025,43291,232,78.65
1026,43291,232,78.65
1027,43291,232,78.65
1028,43291,232,78.65
1029,43291,232,78.66
1030,43334,232,78.68
1031,43334,232,78.68
1032,43334,232,78.69
1033,43334,232,78.69
1034,43334,232,78.69
1035,43334,232,78.69
1036,43334,232,78.7
1037,43379,233,78.71
1038,43379,233,78.71
1039,43379,233,78.72
1040,43379,233,78.72
1041,43379,233,78.72
1042,43379,233,78.72
1043,43379,233,78.73
1044,43379,233,78.73
1045,43423,234,78.73
1046,43423,234,78.74
1047,43423,234,78.74
1048,,,
1049,,,
1050,,,
1051,,,
1052,,,
1053,,,
1054,,,
1055,,,
1056,,,
1057,,,
1058,,,
1059,,,
1060,,,
1061,,,
1062,,,
1063,,,
1064,,,
1065,,,
1066,,,
1067,,,
1068,,,
1069,,,
1070,,,
1071,0,0,0
1072,0,0,0
1073,0,0,0
1074,0,0,0
1075,0,0,0
1076,0,0,0
1077,0,0,0
1078,0,0,0
1079,0,0,0
1080,0,0,0
1081,0,0,0
1082,0,0,0
1083,0,0,0
1084,0,0,0
1085,0,0,0
1086,0,0,0
1087,0,0,0
1088,0,0,0
1089,0,0,0
1090,0,0,0
1091,0,0,0
1092,0,0,0
1093,0,0,0
1094,0,0,0
1095,0,0,0
1096,0,0,0
1097,0,0,0
1098,0,0,0
1099,0,0,0
1100,0,0,0
1101,0,0,0
1102,0,0,0
1103,0,0,0
1104,5,0,0
1105,5,0,0
1106,5,0,0
1107,5,0,0
1108,5,0,0
